Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade
TRANSPORTADORA ROTA 90 LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
VERGOTI INDUSTRIA COMERCIO METAIS L TDA,ND,ND,ND,ND,Sub-região 17,Londrina
VIAÇÃO GARCIA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
VOTORANTIM CIMENTOS BRASIL S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
VOTORANTIM CIMENTOS S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
VOTORANTIM CIMENTOS S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
WHITE MARTINS GASES INDUSTRIAIS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
WITTUR LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
YTICON CONSTRUCAO E INCORPORACAO LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
ZUBINTEG LOGÍSTICA S/A,ND,ND,ND,ND,Sub-região 17,Londrina
A & R - NUTRIÇÃO ANIMAL LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
ABATEDOURO COROAVES LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
ABATEDOURO COROAVES LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
ABM - INDUSTRIA E COMERCIO DE CAFE LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
FAZENDA NOSSA SENHORA APARECIDA,ND,ND,ND,ND,Sub-região 15,Maringá
ADITA-ASSOC DISTR INS TECN AGROPECUARIA,ND,ND,ND,ND,Sub-região 15,Maringá
AGROINDUSTRIAL IRMAOS DALLA COSTA LTDA.,ND,ND,ND,ND,Sub-região 15,Maringá
AGROMEN SEMENTES AGRÍCOLAS LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
AIR LIQUIDE BRASIL LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
ALISUL ALIMENTOS S A,ND,ND,ND,ND,Sub-região 15,Maringá
APTAR DO BRASIL EMBALAGENS LTDA.,ND,ND,ND,ND,Sub-região 15,Maringá
ARCELORMITTAL SUL FLUMINENSE S.A.,ND,ND,ND,ND,Sub-região 15,Maringá
ARMAZEM DONA LUIZA LTDA - ME,ND,ND,ND,ND,Sub-região 15,Maringá
ASSOCIAÇÃO CULTURAL SANTO INÁCIO,ND,ND,ND,ND,Sub-região 15,Maringá
AZUL LINHAS AEREAS BRASILEIRAS S.A.,ND,ND,ND,ND,Sub-região 15,Maringá
B. TRANSPORTES LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
BF COMERCIO DE CEREAIS LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
BHZ LOGISTICA INTEGRADA LTDA.,ND,ND,ND,ND,Sub-região 15,Maringá
BJ PARANA REPRESENTAÇÕES E SOLUÇÕES COMERCIAIS LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
BLOCOPAV INDUSTRIA E COMERCIO DE ARTEFADOS DE CIMENTO LTDA - ME,ND,ND,ND,ND,Sub-região 15,Maringá
BRASIL TRANSPORTES INTERMODAL LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
BRASPRESS TRANSPORTES URGENTES LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
BUNGE ALIMENTOS S/A,ND,ND,ND,ND,Sub-região 15,Maringá
C K O BENVENUTTI - ALIMENTOS NATURAIS - ME,ND,ND,ND,ND,Sub-região 15,Maringá
C.VALE - COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
CARGILL AGRICOLA S A,ND,ND,ND,ND,Sub-região 15,Maringá
CARMEL INDUSTRIA E COMERCIO DE SOBREMESAS LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
CARVAO ARCO IRIS DISTRIBUICAO BRASIL LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB,ND,ND,ND,ND,Sub-região 15,Maringá
CEREALISTA FEIJAO DE OURO LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
CHEF FOODS INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
CIB MINERACAO LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
CIMFLEX-INDÚSTRIA E COMÉRCIO DE PLÁSTICO LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
COCAMAR - COOPERATIVA AGROINDUS TRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
COCARI - COOPERATIVA AGROPECUÁRIA E INDUSTRIAL,ND,ND,ND,ND,Sub-região 15,Maringá
COFCO INTERNATIONAL BRASIL S.A.,ND,ND,ND,ND,Sub-região 15,Maringá
COMPANHIA DE CIMENTO ITAMBÉ,ND,ND,ND,ND,Sub-região 15,Maringá
CONSTRUTORA MARLUC LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
CONSTRUTORA SANCHES TRIPOLONI LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
DEFENDI INDUSTRIA E COMERCIO DE ALIMENTOS EIRELI,ND,ND,ND,ND,Sub-região 15,Maringá
DESCARBOX INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
DOMIMAR INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
DONATO - INDUSTRIA E COMERCIO DE MASSAS E SALGADOS LTDA - ME,ND,ND,ND,ND,Sub-região 15,Maringá
DYNAMICS METALURGICA LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
E ENERGY INDUSTRIA DE PRODUTOS MAGNETICOS LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
E M G - MAQUINAS E EQUIPAMENTOS INDUSTRIAIS E COMERCIAIS LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
ENGEBLOCK PLANEJAMENTO E CONSTRUCOES LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
ENGENHARIA E CONSTRUCOES CSO LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
ENGEPACK EMBALAGENS SA,ND,ND,ND,ND,Sub-região 15,Maringá
ETIK-METAIS INDUSTRIA E COMERCIO DE ACESSORIOS DO VESTUARIO LTDA - E,ND,ND,ND,ND,Sub-região 15,Maringá
EXTRACON MINERACAO E OBRAS LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
F C SEDORKO & CIA LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
F R DE CASTRO AGROPECUARIA,ND,ND,ND,ND,Sub-região 15,Maringá
F. BRESSAN - SERVIÇOS E MATERIAIS ELETRICOS,ND,ND,ND,ND,Sub-região 15,Maringá
FA MARINGA LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
